5.0 5.0
0.5 0.5
0.85 1.25
0.5 2.0
0.85 2.75
0.5 3.5
0.85 4.25
0.5 5.
0.85 5.75
0.5 6.5
0.85 7.25
0.5 8.0
0.85 8.75
0.5 9.5
1.25 0.5
1.609 1.25
1.25 2.0
1.609 2.75
1.25 3.5
1.609 4.25
1.25 5.
1.609 5.75
1.25 6.5
1.609 7.25
1.25 8.0
1.609 8.75
1.25 9.5
2.0 0.5
2.35 1.25
2.0 2.0
2.35 2.75
2.0 3.5
2.35 4.25
2.0 5.
2.35 5.75
2.0 6.5
2.35 7.25
2.0 8.0
2.35 8.75
2.0 9.5
2.75 0.5
3.1089 1.25
2.75 2.0
3.1089 2.75
2.75 3.5
3.1089 4.25
2.75 5.
3.1089 5.75
2.75 6.5
3.1089 7.25
2.75 8.0
3.1089 8.75
2.75 9.5
3.5 0.5
3.85 1.25
3.5 2.0
3.85 2.75
3.5 3.5
3.85 4.25
3.5 5.
3.85 5.75
3.5 6.5
3.85 7.25
3.5 8.0
3.85 8.75
3.5 9.5
4.25 0.5
4.6 1.25
4.25 2.0
4.6 2.75
4.25 3.5
4.6 4.25
4.25 5.
4.6 5.75
4.25 6.5
4.6 7.25
4.25 8.0
4.6 8.75
4.25 9.5
5. 0.5
5.35 1.25
5. 2.0
5.35 2.75
5. 3.5
5.35 4.25
5.35 5.75
5. 6.5
5.35 7.25
5. 8.0
5.35 8.75
5. 9.5
5.75 0.5
6.109 1.25
5.75 2.0
6.109 2.75
5.75 3.5
6.109 4.25
5.75 5.
6.109 5.75
5.75 6.5
6.109 7.25
5.75 8.0
6.109 8.75
5.75 9.5
6.5 0.5
6.85 1.25
6.5 2.0
6.85 2.75
6.5 3.5
6.85 4.25
6.5 5.
6.85 5.75
6.5 6.5
6.85 7.25
6.5 8.0
6.85 8.75
6.5 9.5
7.25 0.5
7.609 1.25
7.25 2.0
7.609 2.75
7.25 3.5
7.609 4.25
7.25 5.
7.609 5.75
7.25 6.5
7.609 7.25
7.25 8.0
7.609 8.75
7.25 9.5
8.0 0.5
8.35 1.25
8.0 2.0
8.35 2.75
8.0 3.5
8.35 4.25
8.0 5.
8.35 5.75
8.0 6.5
8.35 7.25
8.0 8.0
8.35 8.75
8.0 9.5
8.75 0.5
9.1 1.25
8.75 2.0
9.1 2.75
8.75 3.5
9.1 4.25
8.75 5.
9.1 5.75
8.75 6.5
9.1 7.25
8.75 8.0
9.1 8.75
8.75 9.5
9.5 0.5
9.5 2.0
9.5 3.5
9.5 5.
9.5 6.5
9.5 8.0
9.5 9.5

